3pbl_ETQ_0001,-776.243,-9.415,1.037
3pbl_ETQ_0002,-788.210,-12.375,0.351
3pbl_ETQ_0003,-788.796,-11.115,0.353
3pbl_ETQ_0004,-797.116,-11.255,0.248
3pbl_ETQ_0005,-784.025,-12.113,0.385
3pbl_ETQ_0001,-781.583,-9.725,1.028
3pbl_ETQ_0002,-788.750,-11.454,0.213
3pbl_ETQ_0003,-792.500,-11.864,0.352
3pbl_ETQ_0004,-793.366,-11.921,0.326
3pbl_ETQ_0005,-780.806,-11.580,0.363
3pbl_ETQ_0006,-782.753,-11.422,0.389
3pbl_ETQ_0007,-786.706,-11.703,0.384
3pbl_ETQ_0008,-786.456,-10.983,0.295
3pbl_ETQ_0009,-783.176,-11.351,0.289
3pbl_ETQ_0010,-780.244,-11.625,0.364
3pbl_ETQ_0011,-786.546,-11.707,0.298
3pbl_ETQ_0012,-787.276,-11.632,0.510
3pbl_ETQ_0013,-780.237,-11.190,0.291
3pbl_ETQ_0014,-785.128,-11.406,0.330
3pbl_ETQ_0015,-787.293,-11.424,0.269
3pbl_ETQ_0016,-784.796,-10.658,0.408
3pbl_ETQ_0017,-789.990,-11.377,0.341
3pbl_ETQ_0018,-781.681,-11.328,0.362
3pbl_ETQ_0019,-789.106,-11.468,0.322
3pbl_ETQ_0020,-796.751,-11.538,0.316
3pbl_ETQ_0021,-785.848,-11.669,0.362
3pbl_ETQ_0022,-786.367,-11.883,0.315
3pbl_ETQ_0023,-762.758,-9.218,2.072
3pbl_ETQ_0024,-788.508,-11.503,0.283
3pbl_ETQ_0025,-782.874,-12.000,0.265
3pbl_ETQ_0026,-785.891,-12.349,0.333
3pbl_ETQ_0027,-783.844,-9.216,0.997
3pbl_ETQ_0028,-786.761,-11.504,0.260
3pbl_ETQ_0029,-786.561,-11.267,0.371
3pbl_ETQ_0030,-793.958,-11.843,0.279
3pbl_ETQ_0031,-795.161,-11.334,0.323
3pbl_ETQ_0032,-782.710,-11.572,0.347
3pbl_ETQ_0033,-792.387,-11.684,0.363
3pbl_ETQ_0034,-782.683,-11.666,0.404
3pbl_ETQ_0035,-791.208,-11.842,0.355
3pbl_ETQ_0036,-791.363,-11.807,0.341
3pbl_ETQ_0037,-782.567,-11.778,0.255
3pbl_ETQ_0038,-784.030,-10.605,0.321
3pbl_ETQ_0039,-785.153,-12.040,0.374
3pbl_ETQ_0040,-789.866,-11.561,0.303
3pbl_ETQ_0041,-785.243,-11.938,0.297
3pbl_ETQ_0042,-783.291,-12.220,0.426
3pbl_ETQ_0043,-788.949,-11.592,0.300
